array,filename,row,col,mean_intensity,area,solidity,circularity,max_gradient,kmeans_4,dbscan,gmm,agglomerative,spectral
Array_3Crop,"Array_3Crop_15,11.bmp",15,11,71.680419921875,478.0,0.4028655710071639,0.10144194303406012,61.204574992397426,0,-1,1,0,0
Array_3Crop,"Array_3Crop_15,12.bmp",15,12,70.170654296875,507.0,0.4043062200956938,0.10224706255714276,36.22154055254967,0,3,1,0,0
Array_3Crop,"Array_3Crop_15,13.bmp",15,13,70.06982421875,355.5,0.43512851897184823,0.15842530441351063,34.17601498127012,0,0,2,0,0
Array_3Crop,"Array_3Crop_15,14.bmp",15,14,72.294677734375,332.0,0.51875,0.22322512824442733,41.012193308819754,0,0,2,0,0
Array_3Crop,"Array_3Crop_15,15.bmp",15,15,69.737548828125,334.5,0.4202261306532663,0.17774460149613805,40.792156108742276,0,0,2,0,0
Array_3Crop,"Array_3Crop_15,16.bmp",15,16,71.118896484375,261.5,0.5178217821782178,0.2627135231859709,38.2099463490856,0,0,2,0,0
Array_3Crop,"Array_3Crop_15,17.bmp",15,17,74.938720703125,325.0,0.6366307541625857,0.2597282275843608,33.37663853655727,0,-1,1,0,0
Array_3Crop,"Array_3Crop_15,18.bmp",15,18,72.833984375,375.0,0.548646671543526,0.24962428263680733,32.984845004941285,0,0,2,0,0
Array_3Crop,"Array_3Crop_15,19.bmp",15,19,68.185302734375,334.0,0.5322709163346614,0.25664676548547316,42.0,0,0,2,0,0
Array_3Crop,"Array_3Crop_15,2.bmp",15,2,73.84716796875,416.0,0.5598923283983849,0.21704130016792136,35.4682957019364,0,0,2,0,0
Array_3Crop,"Array_3Crop_15,20.bmp",15,20,71.3798828125,340.0,0.5,0.23714796288320708,39.11521443121589,0,0,2,0,0
Array_3Crop,"Array_3Crop_15,21.bmp",15,21,70.39618644067797,348.0,0.5110132158590308,0.22086912205777667,35.4682957019364,0,0,2,0,0
Array_3Crop,"Array_3Crop_15,3.bmp",15,3,71.611328125,344.0,0.5157421289355323,0.23993793721236295,32.0,0,0,2,0,0
Array_3Crop,"Array_3Crop_15,4.bmp",15,4,69.093994140625,310.0,0.5621033544877606,0.24910223033484177,48.33218389437829,0,0,2,0,0
Array_3Crop,"Array_3Crop_15,5.bmp",15,5,73.77197265625,359.5,0.5353685778108712,0.24984498406526456,36.87817782917155,0,0,2,0,0
Array_3Crop,"Array_3Crop_15,6.bmp",15,6,71.0087890625,351.0,0.536697247706422,0.20588631762995283,41.012193308819754,0,0,2,0,0
Array_3Crop,"Array_3Crop_15,7.bmp",15,7,70.515380859375,341.5,0.5085629188384214,0.20097969199188348,31.240998703626616,0,0,2,0,0
Array_3Crop,"Array_3Crop_15,8.bmp",15,8,70.599609375,313.5,0.5504828797190519,0.23440775975135175,34.058772731852805,0,0,2,0,0
Array_3Crop,"Array_3Crop_15,9.bmp",15,9,70.636962890625,319.0,0.7233560090702947,0.34533904364462353,33.015148038438355,0,0,2,0,0
Array_3Crop,"Array_3Crop_16,1.bmp",16,1,74.67052801724138,698.0,0.569099062372605,0.18830780836004699,40.19950248448356,0,-1,1,0,0
Array_3Crop,"Array_3Crop_16,10.bmp",16,10,83.796142578125,100.0,0.8333333333333334,0.2976984757249524,34.058772731852805,1,-1,0,2,2
