array,row,col,filename,defect_type,layer_layer_missing,layer_layer_collapsed,layer_layer_stitching,center_mean,center_std,center_edge_contrast,mean_intensity,dark_ratio,contour_area,stitching_score,max_intensity_jump,rotation_asymmetry,neighbor_deviation,anisotropy,curvature_irregularity,radial_deviation,lof_score,is_lof_outlier
Array_1Crop,1,6,"Array_1Crop_1,6.bmp",Good,2,2.0,1.0,65.8771551724138,7.273890163719312,-8.998195951181714,72.66393008474576,0.689353813559322,0.2963453389830508,38.692129663452164,3.576271186440678,13.855530031371876,3.5199027339471534,0.10031424195918388,5.884343909490962,8.417017728819195,1.0288677149191123,0.0
Array_1Crop,1,7,"Array_1Crop_1,7.bmp",Collapsed,2,1.0,,59.210129310344826,8.282331161336007,-7.784252712127085,65.08130296610169,0.7873411016949152,0.5536281779661016,,,,,,,,,
Array_1Crop,1,8,"Array_1Crop_1,8.bmp",Good,0,0.0,1.0,68.60021551724138,5.940861567184416,-6.462986729949634,73.47484110169492,0.7086864406779662,0.5439618644067796,35.841918103448265,2.140625,13.974807106831122,3.4288212993565583,0.09119429928447184,7.671854268375036,7.216710598656352,1.0682106592028895,0.0
Array_1Crop,1,9,"Array_1Crop_1,9.bmp",Good,0,0.0,1.0,69.47952586206897,6.279380167853719,-5.916190430065868,73.9417372881356,0.6890889830508474,0.4373675847457627,34.508367426456275,1.881355932203391,14.365949177639555,3.3204198988357465,0.1319942457450254,57.46154591999945,7.514649585392172,1.209170132898494,0.0
Array_1Crop,10,1,"Array_1Crop_10,1.bmp",Good,0,0.0,0.0,69.38577586206897,6.196137931010494,-7.882131441301823,75.33077330508475,0.6761122881355932,0.3600370762711864,22.53580721556594,2.118644067796609,10.75577115754605,1.9142899272609657,0.22520495205995594,12.133028309811921,9.600307881630819,1.0376445614871244,0.0
Array_1Crop,10,10,"Array_1Crop_10,10.bmp",Good,0,2.0,0.0,70.810546875,5.242111455647212,2.5787760416666714,68.87646484375,0.90087890625,0.162109375,19.0150390625,2.234375,13.64286832001479,0.19249482237314464,0.22611691764687888,5.208059013580694,14.776008376304633,1.0264449276270593,0.0
Array_1Crop,10,11,"Array_1Crop_10,11.bmp",Stitching,0,2.0,2.0,70.8759765625,5.083602720950044,2.0859375,69.3115234375,0.88671875,0.1939697265625,31.680078124999994,16.609375,,,,,,,
Array_1Crop,10,12,"Array_1Crop_10,12.bmp",Stitching,0,2.0,2.0,68.2236328125,4.495634610672151,-5.4990234375,72.347900390625,0.854736328125,0.3519287109375,31.286230468750006,16.609375,,,,,,,
Array_1Crop,10,13,"Array_1Crop_10,13.bmp",Good,0,0.0,0.0,68.1435546875,4.372532502932,-7.1953125,73.5400390625,0.81103515625,0.52197265625,16.929296875000006,1.734375,6.199242130706438,1.3870088207092406,0.18229710707966856,3.466300198681301,6.096254669811838,1.1041346827846057,0.0
Array_1Crop,10,14,"Array_1Crop_10,14.bmp",Good,0,0.0,0.0,68.306640625,4.2731121155546115,-7.2333984375,73.731689453125,0.7919921875,0.497802734375,17.42724609375,1.53125,6.554242385514864,1.917769698540638,0.17065336148125068,4.017719604784267,6.616675619461417,1.147008211101511,0.0
