array,row,col,defect_type,method
Array_4,18,17,Good,onepass
Array_4,18,18,Good,onepass
Array_4,18,19,Good,onepass
Array_4,18,20,Good,onepass
Array_4,18,21,Good,onepass
Array_4,19,1,Good,onepass
Array_4,19,2,Good,onepass
Array_4,19,3,Good,onepass
Array_4,19,4,Good,onepass
Array_4,19,5,Good,onepass
Array_4,19,6,Good,onepass
Array_4,19,7,Good,onepass
Array_4,19,8,Good,onepass
Array_4,19,9,Good,onepass
Array_4,19,10,Good,onepass
Array_4,19,11,Good,onepass
Array_4,19,12,Good,onepass
Array_4,19,13,Good,onepass
Array_4,19,14,Good,onepass
Array_4,19,15,Good,onepass
Array_4,19,16,Good,onepass
Array_4,19,17,Good,onepass
Array_4,19,18,Good,onepass
Array_4,19,19,Good,onepass
Array_4,19,20,Good,onepass
Array_4,19,21,Good,onepass
Array_4,20,1,Good,onepass
Array_4,20,2,Good,onepass
Array_4,20,3,Good,onepass
Array_4,20,4,Good,onepass
Array_4,20,5,Good,onepass
Array_4,20,6,Good,onepass
Array_4,20,7,Good,onepass
Array_4,20,8,Good,onepass
Array_4,20,9,Good,onepass
Array_4,20,10,Good,onepass
Array_4,20,11,Good,onepass
Array_4,20,12,Good,onepass
Array_4,20,13,Good,onepass
Array_4,20,14,Good,onepass
Array_4,20,15,Good,onepass
Array_4,20,16,Good,onepass
Array_4,20,17,Good,onepass
Array_4,20,18,Good,onepass
Array_4,20,19,Good,onepass
Array_4,20,20,Good,onepass
Array_4,20,21,Good,onepass
Array_4,21,1,Good,onepass
Array_4,21,2,Good,onepass
Array_4,21,3,Good,onepass
Array_4,21,4,Good,onepass
Array_4,21,5,Good,onepass
Array_4,21,6,Good,onepass
Array_4,21,7,Good,onepass
Array_4,21,8,Good,onepass
Array_4,21,9,Good,onepass
Array_4,21,10,Good,onepass
Array_4,21,11,Good,onepass
Array_4,21,12,Good,onepass
Array_4,21,13,Good,onepass
Array_4,21,14,Good,onepass
Array_4,21,15,Good,onepass
Array_4,21,16,Good,onepass
Array_4,21,17,Good,onepass
Array_4,21,18,Good,onepass
Array_4,21,19,Good,onepass
Array_4,21,20,Good,onepass
Array_4,21,21,Good,onepass
Array_4,5,15,Missing,onepass
Array_4,6,15,Missing,onepass
Array_4,7,5,Missing,onepass
Array_4,7,6,Missing,onepass
Array_4,9,2,Missing,onepass
Array_4,10,12,Missing,onepass
Array_4,11,18,Missing,onepass
Array_4,12,12,Missing,onepass
Array_4,12,14,Missing,onepass
Array_4,13,21,Missing,onepass
Array_4,15,1,Missing,onepass
Array_4,15,7,Missing,onepass
Array_4,16,16,Missing,onepass
Array_4,18,14,Missing,onepass
Array_4,18,15,Missing,onepass
Array_4,1,1,Collapsed,onepass
Array_4,1,19,Collapsed,onepass
Array_4,2,14,Collapsed,onepass
Array_4,4,11,Collapsed,onepass
Array_4,7,16,Collapsed,onepass
Array_4,9,10,Collapsed,onepass
Array_4,9,11,Collapsed,onepass
Array_4,13,2,Collapsed,onepass
Array_4,13,3,Collapsed,onepass
Array_4,13,7,Collapsed,onepass
Array_4,13,8,Collapsed,onepass
Array_4,16,2,Collapsed,onepass
Array_4,16,3,Collapsed,onepass
Array_4,17,18,Collapsed,onepass
Array_4,4,12,Stitching,onepass
Array_4,16,12,Stitching,onepass
Array_4,1,2,Irregular,onepass
Array_4,1,12,Irregular,onepass
Array_4,1,20,Irregular,onepass
Array_4,2,12,Irregular,onepass
Array_4,2,13,Irregular,onepass
Array_4,2,16,Irregular,onepass
Array_4,2,20,Irregular,onepass
Array_4,5,11,Irregular,onepass
Array_4,5,12,Irregular,onepass
Array_4,6,20,Irregular,onepass
Array_4,6,21,Irregular,onepass
Array_4,7,17,Irregular,onepass
Array_4,7,21,Irregular,onepass
Array_4,8,11,Irregular,onepass
Array_4,8,15,Irregular,onepass
Array_4,10,10,Irregular,onepass
Array_4,11,12,Irregular,onepass
Array_4,14,2,Irregular,onepass
Array_4,14,7,Irregular,onepass
Array_4,14,8,Irregular,onepass
Array_4,17,2,Irregular,onepass
Array_4,17,19,Irregular,onepass
